1686787201000,1650.18,1650.18,1650.18
1686787202000,1650.18,1650.18,1650.18
1686787203000,1650.18,1650.18,1650.18
1686787204000,1650.18,1650.18,1650.18
1686787205000,1650.00859804,1650.00859804,1650.00859804
1686787206000,1650.00859804,1650.00859804,1650.00859804
1686787207000,1649.83,1649.83,1649.83
1686787208000,1649.83306863,1649.83306863,1649.83306863
1686787209000,1649.8302451,1649.8302451,1649.8302451
1686787210000,1649.7536,1649.7536,1649.7536
1686787211000,1649.7536,1649.7536,1649.7536
1686787212000,1649.6396,1649.6396,1649.6396
1686787213000,1649.63465882,1649.63465882,1649.63465882
1686787214000,1649.63465882,1649.63465882,1649.63465882
1686787215000,1649.64101765,1649.64101765,1649.64101765
1686787216000,1649.64242941,1649.64242941,1649.64242941
1686787217000,1649.63701765,1649.63701765,1649.63701765
1686787218000,1649.64172353,1649.64172353,1649.64172353
1686787219000,1649.64172353,1649.64172353,1649.64172353
1686787220000,1649.62995882,1649.62995882,1649.62995882
1686787221000,1649.53717348,1649.53717348,1649.53717348
1686787222000,1649.43999701,1649.43999701,1649.43999701
1686787223000,1649.43293819,1649.43293819,1649.43293819
1686787224000,1649.43152642,1649.43152642,1649.43152642
1686787225000,1649.43293819,1649.43293819,1649.43293819
1686787226000,1649.4442662,1649.4442662,1649.4442662
1686787227000,1649.45485444,1649.45485444,1649.45485444
1686787228000,1649.45485444,1649.45485444,1649.45485444
1686787229000,1649.45744267,1649.45744267,1649.45744267
1686787230000,1649.45744267,1649.45744267,1649.45744267
1686787231000,1649.44712562,1649.44712562,1649.44712562
1686787232000,1649.43489033,1649.43489033,1649.43489033
1686787233000,1649.43489033,1649.43489033,1649.43489033
1686787234000,1649.42241974,1649.42241974,1649.42241974
1686787235000,1649.42241974,1649.42241974,1649.42241974
1686787236000,1649.29048627,1649.29048627,1649.29048627
1686787237000,1649.26695686,1649.26695686,1649.26695686
1686787238000,1649.26083922,1649.26083922,1649.26083922
1686787239000,1649.2655451,1649.2655451,1649.2655451
1686787240000,1649.26013333,1649.26013333,1649.26013333
1686787241000,1649.26013333,1649.26013333,1649.26013333
1686787242000,1649.2588451,1649.2588451,1649.2588451
1686787243000,1649.2588451,1649.2588451,1649.2588451
1686787244000,1649.26096275,1649.26096275,1649.26096275
1686787245000,1649.26096275,1649.26096275,1649.26096275
1686787246000,1649.26496275,1649.26496275,1649.26496275
1686787247000,1649.26692157,1649.26692157,1649.26692157
1686787248000,1649.27303922,1649.27303922,1649.27303922
1686787249000,1649.27092157,1649.27092157,1649.27092157
1686787250000,1649.27092157,1649.27092157,1649.27092157
1686787251000,1649.27092157,1649.27092157,1649.27092157
1686787252000,1649.27571569,1649.27571569,1649.27571569
1686787253000,1649.27171569,1649.27171569,1649.27171569
1686787254000,1649.27171569,1649.27171569,1649.27171569
1686787255000,1649.27642157,1649.27642157,1649.27642157
1686787256000,1649.27171569,1649.27171569,1649.27171569
1686787257000,1649.27242157,1649.27242157,1649.27242157
1686787258000,1649.27587059,1649.27587059,1649.27587059
1686787259000,1649.27728235,1649.27728235,1649.27728235
1686787260000,1649.27728235,1649.27728235,1649.27728235
1686787261000,1649.28198824,1649.28198824,1649.28198824
1686787262000,1649.27728235,1649.27728235,1649.27728235
1686787263000,1649.27471569,1649.27471569,1649.27471569
1686787264000,1649.25989216,1649.25989216,1649.25989216
1686787265000,1649.08553922,1649.08553922,1649.08553922
1686787266000,1648.8182451,1648.8182451,1648.8182451
1686787267000,1648.8182451,1648.8182451,1648.8182451
1686787268000,1648.80537255,1648.80537255,1648.80537255
1686787269000,1648.70984314,1648.70984314,1648.70984314
1686787270000,1648.69713725,1648.69713725,1648.69713725
1686787271000,1648.69290196,1648.69290196,1648.69290196
1686787272000,1648.69290196,1648.69290196,1648.69290196
1686787273000,1648.68814314,1648.68814314,1648.68814314
1686787274000,1648.68814314,1648.68814314,1648.68814314
1686787275000,1648.68461373,1648.68461373,1648.68461373
1686787276000,1648.69167255,1648.69167255,1648.69167255
1686787277000,1648.87990784,1648.87990784,1648.87990784
1686787278000,1648.84896667,1648.84896667,1648.84896667
1686787279000,1648.77070588,1648.77070588,1648.77070588
1686787280000,1648.76929412,1648.76929412,1648.76929412
1686787281000,1648.694,1648.694,1648.694
1686787282000,1648.694,1648.694,1648.694
1686787283000,1648.69470588,1648.69470588,1648.69470588
1686787284000,1648.68966863,1648.68966863,1648.68966863
1686787285000,1648.68966863,1648.68966863,1648.68966863
1686787286000,1648.89,1648.89,1648.89
1686787287000,1648.97,1648.97,1648.97
1686787288000,1649.15708039,1649.15708039,1649.15708039
1686787289000,1649.15123333,1649.15123333,1649.15123333
1686787290000,1649.31,1649.31,1649.31
1686787291000,1649.31,1649.31,1649.31
1686787292000,1649.31,1649.31,1649.31
1686787293000,1649.31,1649.31,1649.31
1686787294000,1649.31,1649.31,1649.31
1686787295000,1649.25621765,1649.25621765,1649.25621765
1686787296000,1649.26021765,1649.26021765,1649.26021765
1686787297000,1649.26821765,1649.26821765,1649.26821765
1686787298000,1649.27104118,1649.27104118,1649.27104118
1686787299000,1649.3,1649.3,1649.3
1686787300000,1649.31,1649.31,1649.31
1686787301000,1649.33,1649.33,1649.33
1686787302000,1649.33,1649.33,1649.33
1686787303000,1649.28371961,1649.28371961,1649.28371961
1686787304000,1648.86701373,1648.86701373,1648.86701373
1686787305000,1648.86743529,1648.86743529,1648.86743529
1686787306000,1648.75190588,1648.75190588,1648.75190588
1686787307000,1648.74555294,1648.74555294,1648.74555294
1686787308000,1648.74555294,1648.74555294,1648.74555294
