Statistical profiling result from build/isolate-0x6915390-370590-v8.log, (496691 ticks, 63 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    109    0.0%    0.1%  LazyCompile: *isEmptyObject file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/FuturesTrader.js:237:18
    108    0.0%    0.1%  LazyCompile: *fulfilled file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/BasePlacer.js:4:27
    107    0.0%    0.1%  LazyCompile: *setDirection file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/FuturesTrader.js:98:17
    105    0.0%    0.1%  LazyCompile: *placeSell file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/FuturesTrader.js:179:14
     95    0.0%    0.1%  LazyCompile: *positionSide file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Models.js:33:17
     89    0.0%    0.1%  LazyCompile: *<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Simulator/Simulate.js:90:38
     86    0.0%    0.1%  LazyCompile: *writeOrBuffer node:internal/streams/writable:366:23
     80    0.0%    0.1%  LazyCompile: *<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/DALSimulation.js:27:26
     78    0.0%    0.1%  LazyCompile: *get node:internal/util/inspect:409:8
     64    0.0%    0.1%  LazyCompile: *onwrite node:internal/streams/writable:426:17
     59    0.0%    0.1%  LazyCompile: *sub file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/FuturesTrader.js:108:8
     55    0.0%    0.1%  LazyCompile: *__awaiter file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/DALSimulation.js:1:54
     54    0.0%    0.1%  LazyCompile: *<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/DALSimulation.js:3:46
     53    0.0%    0.1%  LazyCompile: *<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/DALSimulation.js:40:26
     36    0.0%    0.0%  LazyCompile: *__awaiter file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/FuturesTrader.js:1:54
     35    0.0%    0.0%  LazyCompile: *<anonymous> node:internal/validators:236:42
     33    0.0%    0.0%  LazyCompile: *<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/DALSimulation.js:38:26
     25    0.0%    0.0%  Function: ^<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Simulator/Simulate.js:90:38
     24    0.0%    0.0%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
     23    0.0%    0.0%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
     21    0.0%    0.0%  LazyCompile: *<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/BasePlacer.js:46:56
     21    0.0%    0.0%  LazyCompile: *<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/DALSimulation.js:41:29
     19    0.0%    0.0%  LazyCompile: *<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Simulator/Simulate.js:3:46
     17    0.0%    0.0%  LazyCompile: *resolve node:path:1091:10
     17    0.0%    0.0%  LazyCompile: *Readable.read node:internal/streams/readable:402:35
     16    0.0%    0.0%  LazyCompile: *step file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/BasePlacer.js:6:22
     16    0.0%    0.0%  LazyCompile: *emit node:events:340:44
     15    0.0%    0.0%  LazyCompile: *<anonymous> node:internal/console/constructor:338:10
     15    0.0%    0.0%  Function: ^<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/BasePlacer.js:114:58
     14    0.0%    0.0%  LazyCompile: *afterWrite node:internal/streams/writable:488:20
     14    0.0%    0.0%  LazyCompile: *Order.isFirst file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Models.js:40:24
     14    0.0%    0.0%  LazyCompile: *BasePlacer file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/BasePlacer.js:15:16
     14    0.0%    0.0%  LazyCompile: *<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Simulator/DataManager.js:360:51
     13    0.0%    0.0%  LazyCompile: *extend /home/elihai/LaravelProjects/tradingBot/bot_core/node_modules/.pnpm/extend@3.0.2/node_modules/extend/index.js:65:33
     13    0.0%    0.0%  Function: ^<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/BasePlacer.js:3:46
     12    0.0%    0.0%  LazyCompile: *_unrefTimer node:net:417:52
     11    0.0%    0.0%  LazyCompile: *get node:internal/streams/duplex:100:8
     11    0.0%    0.0%  Function: ^<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Simulator/Simulate.js:3:46
     11    0.0%    0.0%  Function: ^<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/DALSimulation.js:3:46
     10    0.0%    0.0%  LazyCompile: *placeSellFromBuy file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/FuturesTrader.js:223:21
     10    0.0%    0.0%  LazyCompile: *<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Simulator/DataManager.js:356:37
     10    0.0%    0.0%  Function: ^fulfilled file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/BasePlacer.js:4:27
     10    0.0%    0.0%  Function: ^<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/FuturesTrader.js:3:46
      9    0.0%    0.0%  LazyCompile: *place_order file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/BasePlacer.js:113:16
      9    0.0%    0.0%  LazyCompile: *parseAllValues file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/BasePlacer.js:198:19
      9    0.0%    0.0%  LazyCompile: *once node:events:528:44
      9    0.0%    0.0%  LazyCompile: *addListener node:events:486:58
      9    0.0%    0.0%  LazyCompile: *Readable.removeListener node:internal/streams/readable:928:45
      9    0.0%    0.0%  Function: ^<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/FuturesTrader.js:225:58
      8    0.0%    0.0%  LazyCompile: *noop node:internal/util/debuglog:47:14
      8    0.0%    0.0%  LazyCompile: *get node:net:1706:6
      8    0.0%    0.0%  Function: ^afterWriteDispatched node:internal/stream_base_commons:159:30
      8    0.0%    0.0%  Function: ^Socket._writeGeneric node:net:769:42
      7    0.0%    0.0%  LazyCompile: *calculateSmas file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Simulator/DataManager.js:276:18
      7    0.0%    0.0%  LazyCompile: *Socket._writeGeneric node:net:769:42
      7    0.0%    0.0%  Function: ^<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/FuturesTrader.js:181:58
      6    0.0%    0.0%  LazyCompile: *step file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/FuturesTrader.js:6:22
      6    0.0%    0.0%  LazyCompile: *normalizeString node:path:66:25
      6    0.0%    0.0%  LazyCompile: *addChunk node:internal/streams/readable:312:18
      6    0.0%    0.0%  LazyCompile: *Writable.write node:internal/streams/writable:334:36
      6    0.0%    0.0%  LazyCompile: *<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Simulator/DataManager.js:58:46
      6    0.0%    0.0%  Function: ^buildHistory file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/BasePlacer.js:78:17
      6    0.0%    0.0%  Function: ^<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/BasePlacer.js:2:80
      6    0.0%    0.0%  Function: ^<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Simulator/DataManager.js:58:46
      5    0.0%    0.0%  LazyCompile: *readableAddChunk node:internal/streams/readable:242:26
      5    0.0%    0.0%  LazyCompile: *encodeStr node:internal/querystring:45:19
      5    0.0%    0.0%  LazyCompile: *afterWriteTick node:internal/streams/writable:483:24
      5    0.0%    0.0%  LazyCompile: *<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/BasePlacer.js:2:80
      5    0.0%    0.0%  Function: ^BasePlacer.countDecimals file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Workers/BasePlacer.js:29:39
      5    0.0%    0.0%  Function: ^<anonymous> file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Simulator/Simulate.js:29:54
      4    0.0%    0.0%  RegExp: [^\t\x20-\x7e\x80-\xff]
      4    0.0%    0.0%  LazyCompile: *storeHeader node:_http_outgoing:517:21
      4    0.0%    0.0%  LazyCompile: *log file:///home/elihai/LaravelProjects/tradingBot/bot_core/build/Logger.js:15:8
      4    0.0%    0.0%  LazyCompile: *format node:url:610:39
